column_name,data_type,sample_rows,null_count,null_pct,distinct_count,min_value,max_value,sample_values
admission_date,nvarchar,656407,16397,2.50,13872,NULL,NULL,"NULL (10802), 2023-10-04 (464), 2024-12-17 (464), 2024-11-13 (458), 2023-12-11 (456)"
admission_id,int,656407,0,0.00,656407,50001,1690609,"1000000 (1), 1000001 (1), 1000002 (1), 1000004 (1), 1000007 (1)"
admission_type,nvarchar,656407,6709,1.02,6,NULL,NULL,"Emergency (282484), elective (177269), Urgent (98339), ER (52264), Planned (32898)"
attending_physician,nvarchar,656407,32886,5.01,494,NULL,NULL,"Dr. Lakshmi Shetty (2524), Anand Kamath (2520), Dr. K. Jadhav (2509), Sita Iyengar, MD (2504), Sita Pawar (2478)"
department_id,tinyint,656407,0,0.00,108,1,108,"24 (9785), 7 (9713), 3 (9686), 17 (9676), 21 (9674)"
discharge_date,nvarchar,656407,48546,7.40,13941,NULL,NULL,"NULL (10485), 2023-11-10 (414), 2024-11-30 (412), 2022-10-28 (411), 2024-12-01 (396)"
discharge_status,nvarchar,656407,6581,1.00,8,NULL,NULL,"Discharged (459427), Home (98697), Transferred (32695), AMA (19990), Expired (13209)"
hospital_id,tinyint,656407,0,0.00,5,1,5,"1 (230356), 2 (131404), 3 (118023), 5 (98218), 4 (78406)"
length_of_stay,tinyint,656407,0,0.00,13,1,30,"1 (164119), 2 (131426), 3 (98407), 4 (65879), 5 (52432)"
patient_id,int,656407,0,0.00,93827,10001,197898,"17690 (22), 119085 (21), 109144 (19), 111888 (19), 141364 (19)"
room_number,nvarchar,656407,65679,10.01,2495,NULL,NULL,"A291 (289), ICU447 (284), ER406 (283), C238 (282), C267 (282)"
