column_name,data_type,sample_rows,null_count,null_pct,distinct_count,min_value,max_value,sample_values
accreditation,nvarchar,5,2,40.00,3,NULL,NULL,"JCI (1), NABH (1), None (1)"
branch_location,nvarchar,5,0,0.00,5,NULL,NULL,"Adyar (1), Anna Nagar (1), Old Mahabalipuram Road (1), Tambaram (1), Velachery (1)"
established_year,smallint,5,0,0.00,5,1985,2008,"1985 (1), 1992 (1), 1998 (1), 2001 (1), 2008 (1)"
General_bed_breakdown,tinyint,5,0,0.00,5,108,240,"108 (1), 120 (1), 132 (1), 150 (1), 240 (1)"
hospital_id,tinyint,5,0,0.00,5,1,5,"1 (1), 2 (1), 3 (1), 4 (1), 5 (1)"
hospital_name,nvarchar,5,0,0.00,5,NULL,NULL,"Adyar Branch (1), Main Campus Hospital (1), OMR Branch (1), Tambaram Branch (1), Velachery Branch Hospital (1)"
ICU_bed_breakdown,tinyint,5,0,0.00,5,18,80,"18 (1), 20 (1), 37 (1), 55 (1), 80 (1)"
icu_percentage,tinyint,5,0,0.00,4,10,25,"10 (2), 15 (1), 20 (1), 25 (1)"
Private_bed_breakdown,tinyint,5,0,0.00,5,45,100,"100 (1), 45 (1), 50 (1), 55 (1), 62 (1)"
Semi_Private_bed_breakdown,tinyint,5,0,0.00,5,27,60,"27 (1), 30 (1), 33 (1), 37 (1), 60 (1)"
total_beds,smallint,5,0,0.00,5,176,390,"176 (1), 192 (1), 216 (1), 263 (1), 390 (1)"
