column_name,data_type,sample_rows,null_count,null_pct,distinct_count,min_value,max_value,sample_values
address,nvarchar,93923,0,0.00,81617,NULL,NULL,"523, Gandhi Street, Chennai 600054 (6), 526, Gandhi St, Perungudi, Chennai 600123 (6), 151, Main Avenue, Sholinganallur, Chennai 600093 (5), 160, Kamaraj Ave, Perungudi, Chennai 600038 (5), 28, Kamaraj St, Sholinganallur, Chennai 600050 (5)"
age,tinyint,93923,0,0.00,91,0,90,"33 (1693), 22 (1691), 31 (1679), 23 (1673), 25 (1666)"
area,nvarchar,93923,0,0.00,29,NULL,NULL,"Royapettah (3434), Ambattur (3361), Adyar (3324), Besant Nagar (3319), Chrompet (3303)"
blood_group,nvarchar,93923,7487,7.97,12,NULL,NULL,"O+ (32855), B+ (14236), A+ (14108), O- (7622), AB+ (4640)"
created_date,datetime2,93923,0,0.00,81651,2020-08-03 17:52:56.000000,2025-08-03 22:10:22.000000,"2022-05-07 01:47:22.0000000 (6), 2025-05-26 06:41:31.0000000 (6), 2020-08-26 09:57:05.0000000 (5), 2020-10-03 15:52:42.0000000 (5), 2020-10-14 17:34:50.0000000 (5)"
date_of_birth,nvarchar,93923,2434,2.59,32298,NULL,NULL,"NULL (1465), 1987-06-18 (17), 1979-07-06 (14), 1986-01-11 (14), 1987-05-09 (14)"
emergency_contact,nvarchar,93923,13701,14.59,59800,NULL,NULL,"NULL (4845), Not provided (4716), Contact:  (688), Contact: N/A (160), Contact: NULL (124)"
first_name,nvarchar,93923,0,0.00,140,NULL,NULL,"Ashwin (2011), Arjun (1960), Arun (1958), Uma (1931), Yamuna (1931)"
gender,nvarchar,93923,7543,8.03,5,NULL,NULL,"M (24276), F (22502), Male (17979), Female (16977), NULL (4646)"
insurance_type,nvarchar,93923,9478,10.09,10,NULL,NULL,"Government (18854), Private (14155), Gov (13910), Pvt (9595), Self Pay (9456)"
last_name,nvarchar,93923,0,0.00,132,NULL,NULL,"Jain (2264), Shetty (2222), Sastry (2204), Naidu (2193), Patel (2192)"
mrn,nvarchar,93923,5818,6.19,64377,NULL,NULL,"TBD (5712), NULL (5677), PENDING (5667), MRN899871 (6), MRN177696 (5)"
patient_id,int,93923,0,0.00,93923,10001,197898,"100000 (1), 100002 (1), 100005 (1), 100007 (1), 100009 (1)"
phone,nvarchar,93923,4820,5.13,78187,NULL,NULL,"NULL (918), N/A (905), 07493087568 (6), 9999796398 (6), +91 815 261 4090 (5)"
pincode,int,93923,9403,10.01,130,600001,600130,"600066 (742), 600024 (712), 600047 (705), 600030 (703), 600117 (699)"
